Year;Month;Day_Month;Hour_Day;Week_Day;Holiday;Temperature;Solar.Irradiation;Power
2019;1;1;0;TUE;YES;-1.15;4.21;27.5
2019;1;1;1;TUE;YES;-0.94;4.23;30
2019;1;1;2;TUE;YES;-0.8;4.13;26.6
2019;1;1;3;TUE;YES;-0.6;4.04;26.9
2019;1;1;4;TUE;YES;-0.1;4.93;28.4
2019;1;1;5;TUE;YES;-0.12;5.11;26.5
2019;1;1;6;TUE;YES;0.14;4.7;30.2
2019;1;1;7;TUE;YES;0.39;4.4;60.4
2019;1;1;8;TUE;YES;0.51;4.72;39.7
2019;1;1;9;TUE;YES;0.68;8.77;35.4
2019;1;1;10;TUE;YES;1.01;22.71;33.7
2019;1;1;11;TUE;YES;1.43;28.42;32.8
2019;1;1;12;TUE;YES;1.81;40;32.5
2019;1;1;13;TUE;YES;1.99;43.24;35
2019;1;1;14;TUE;YES;2.19;15.66;35.9
2019;1;1;15;TUE;YES;2.32;5.74;36.1
2019;1;1;16;TUE;YES;2.3;2.83;33.1
2019;1;1;17;TUE;YES;2.36;1.9;32.2
2019;1;1;18;TUE;YES;2.25;2.25;36.4
2019;1;1;19;TUE;YES;2.11;2.25;33.2
2019;1;1;20;TUE;YES;1.98;2.24;31.8
2019;1;1;21;TUE;YES;1.76;1.67;33.1
2019;1;1;22;TUE;YES;1.62;1.56;25.2
2019;1;1;23;TUE;YES;1.71;1.4;23.7
2019;1;2;0;WED;NO;1.67;2.2;29.7
2019;1;2;1;WED;NO;1.8;3.15;25.6
2019;1;2;2;WED;NO;1.8;3.31;26.8
2019;1;2;3;WED;NO;1.23;2.92;30.1
2019;1;2;4;WED;NO;0.77;3.52;28.6
2019;1;2;5;WED;NO;0.58;3.55;27.7
2019;1;2;6;WED;NO;0.35;3.56;27.9
2019;1;2;7;WED;NO;0.31;3.13;44.6
2019;1;2;8;WED;NO;0.32;3.92;36.3
2019;1;2;9;WED;NO;0.25;13.73;35.5
2019;1;2;10;WED;NO;0.42;26.82;36.9
2019;1;2;11;WED;NO;0.33;51.22;43.2
2019;1;2;12;WED;NO;0.14;38.76;33.2
2019;1;2;13;WED;NO;-0.23;46.49;33.6
2019;1;2;14;WED;NO;-1.13;22.3;38.6
2019;1;2;15;WED;NO;-1.53;8.14;38.4
2019;1;2;16;WED;NO;-1.78;2.34;44.3
2019;1;2;17;WED;NO;-2.13;1.38;39.3
2019;1;2;18;WED;NO;-2.31;1.03;38.8
2019;1;2;19;WED;NO;-2.64;1.18;39.8
2019;1;2;20;WED;NO;-2.94;1.49;42
2019;1;2;21;WED;NO;-3.33;1.36;35.8
2019;1;2;22;WED;NO;-3.67;1.68;32.8
2019;1;2;23;WED;NO;-3.55;2.4;31.8
2019;1;3;0;THU;NO;-3.88;4.09;29
2019;1;3;1;THU;NO;-4.1;4.76;32.1
2019;1;3;2;THU;NO;-4.38;4.94;32.8
2019;1;3;3;THU;NO;-4.42;5.55;32.6
2019;1;3;4;THU;NO;-4.54;5.53;34.9
2019;1;3;5;THU;NO;-4.54;5.45;38.4
2019;1;3;6;THU;NO;-4.36;5.22;34.2
2019;1;3;7;THU;NO;-4.37;4.77;62
2019;1;3;8;THU;NO;-4.37;4.81;46.3
2019;1;3;9;THU;NO;-4.32;10.57;43.8
2019;1;3;10;THU;NO;-4.25;33.52;40.2
2019;1;3;11;THU;NO;-4.34;36.51;42.4
2019;1;3;12;THU;NO;-4.22;49.86;43.1
2019;1;3;13;THU;NO;-4.3;35.16;42.8
2019;1;3;14;THU;NO;-4.58;21.21;42.6
2019;1;3;15;THU;NO;-4.84;6.15;40.2
2019;1;3;16;THU;NO;-4.98;2.88;44.5
2019;1;3;17;THU;NO;-5.33;2.21;41.5
2019;1;3;18;THU;NO;-5.52;1.69;40.3
2019;1;3;19;THU;NO;-5.35;1.34;44.8
2019;1;3;20;THU;NO;-5.44;2.7;37.8
2019;1;3;21;THU;NO;-5.47;2.15;40.2
2019;1;3;22;THU;NO;-5.3;2.76;31.9
2019;1;3;23;THU;NO;-5.32;2.66;33.5
2019;1;4;0;FRI;NO;-5.39;4.91;38.2
2019;1;4;1;FRI;NO;-5.45;4.77;31.6
2019;1;4;2;FRI;NO;-5.45;5.07;39.2
2019;1;4;3;FRI;NO;-5.53;5.16;39.3
2019;1;4;4;FRI;NO;-5.82;5.11;38.8
2019;1;4;5;FRI;NO;-6.17;5.3;35.6
2019;1;4;6;FRI;NO;-6.4;4.87;40.1
2019;1;4;7;FRI;NO;-6.66;4.98;72.2
2019;1;4;8;FRI;NO;-6.9;5.82;38.3
2019;1;4;9;FRI;NO;-6.89;13.17;41.9
2019;1;4;10;FRI;NO;-6.51;34.05;41.6
2019;1;4;11;FRI;NO;-6.4;53.85;45.4
2019;1;4;12;FRI;NO;-5.78;59.7;38
2019;1;4;13;FRI;NO;-5.06;38.54;39.5
2019;1;4;14;FRI;NO;-4.79;19.82;48
2019;1;4;15;FRI;NO;-4.69;4.52;40.5
2019;1;4;16;FRI;NO;-4.62;2.24;36.1
2019;1;4;17;FRI;NO;-4.58;2.05;34.9
2019;1;4;18;FRI;NO;-4.43;0.99;44.3
2019;1;4;19;FRI;NO;-4.22;1.33;36.1
2019;1;4;20;FRI;NO;-4.02;0.43;36.5
2019;1;4;21;FRI;NO;-3.85;0.3;37.9
2019;1;4;22;FRI;NO;-3.78;0.39;33.5
2019;1;4;23;FRI;NO;-3.69;0.89;30.6
2019;1;5;0;SAT;NO;-3.65;0.68;29.9
2019;1;5;1;SAT;NO;-4.16;1.2;28.7
2019;1;5;2;SAT;NO;-4.89;1.05;34.9
2019;1;5;3;SAT;NO;-5.22;1.81;35.1
2019;1;5;4;SAT;NO;-5.57;2.13;33.7
2019;1;5;5;SAT;NO;-5.88;2.4;34.8
2019;1;5;6;SAT;NO;-6.08;2.57;38.7
2019;1;5;7;SAT;NO;-6.47;2.58;72.9
