"","DATE","DATE_year","DATE_month_year","DATE_week_year","DATE_day_year","DATE_day_month","DATE_day_week","DATE_hour_year","DATE_hour_week","DATE_hour_day","DATE_weekday","Holiday","Temperature","Solar.Irradiation","Power"
"1",2019-01-01 00:00:00,2019,1,0,1,1,3,0,48,0,TRUE,"YES",-1.15,4.21,27.5
"2",2019-01-01 01:00:00,2019,1,0,1,1,3,1,49,1,TRUE,"YES",-0.94,4.23,30
"3",2019-01-01 02:00:00,2019,1,0,1,1,3,2,50,2,TRUE,"YES",-0.8,4.13,26.6
"4",2019-01-01 03:00:00,2019,1,0,1,1,3,3,51,3,TRUE,"YES",-0.6,4.04,26.9
"5",2019-01-01 04:00:00,2019,1,0,1,1,3,4,52,4,TRUE,"YES",-0.1,4.93,28.4
"6",2019-01-01 05:00:00,2019,1,0,1,1,3,5,53,5,TRUE,"YES",-0.12,5.11,26.5
"7",2019-01-01 06:00:00,2019,1,0,1,1,3,6,54,6,TRUE,"YES",0.14,4.7,30.2
"8",2019-01-01 07:00:00,2019,1,0,1,1,3,7,55,7,TRUE,"YES",0.39,4.4,60.4
"9",2019-01-01 08:00:00,2019,1,0,1,1,3,8,56,8,TRUE,"YES",0.51,4.72,39.7
"10",2019-01-01 09:00:00,2019,1,0,1,1,3,9,57,9,TRUE,"YES",0.68,8.77,35.4
"11",2019-01-01 10:00:00,2019,1,0,1,1,3,10,58,10,TRUE,"YES",1.01,22.71,33.7
"12",2019-01-01 11:00:00,2019,1,0,1,1,3,11,59,11,TRUE,"YES",1.43,28.42,32.8
"13",2019-01-01 12:00:00,2019,1,0,1,1,3,12,60,12,TRUE,"YES",1.81,40,32.5
"14",2019-01-01 13:00:00,2019,1,0,1,1,3,13,61,13,TRUE,"YES",1.99,43.24,35
"15",2019-01-01 14:00:00,2019,1,0,1,1,3,14,62,14,TRUE,"YES",2.19,15.66,35.9
"16",2019-01-01 15:00:00,2019,1,0,1,1,3,15,63,15,TRUE,"YES",2.32,5.74,36.1
"17",2019-01-01 16:00:00,2019,1,0,1,1,3,16,64,16,TRUE,"YES",2.3,2.83,33.1
"18",2019-01-01 17:00:00,2019,1,0,1,1,3,17,65,17,TRUE,"YES",2.36,1.9,32.2
"19",2019-01-01 18:00:00,2019,1,0,1,1,3,18,66,18,TRUE,"YES",2.25,2.25,36.4
"20",2019-01-01 19:00:00,2019,1,0,1,1,3,19,67,19,TRUE,"YES",2.11,2.25,33.2
"21",2019-01-01 20:00:00,2019,1,0,1,1,3,20,68,20,TRUE,"YES",1.98,2.24,31.8
"22",2019-01-01 21:00:00,2019,1,0,1,1,3,21,69,21,TRUE,"YES",1.76,1.67,33.1
"23",2019-01-01 22:00:00,2019,1,0,1,1,3,22,70,22,TRUE,"YES",1.62,1.56,25.2
"24",2019-01-01 23:00:00,2019,1,0,1,1,3,23,71,23,TRUE,"YES",1.71,1.4,23.7
"25",2019-01-02 00:00:00,2019,1,0,2,2,4,24,72,0,TRUE,"NO",1.67,2.2,29.7
"26",2019-01-02 01:00:00,2019,1,0,2,2,4,25,73,1,TRUE,"NO",1.8,3.15,25.6
"27",2019-01-02 02:00:00,2019,1,0,2,2,4,26,74,2,TRUE,"NO",1.8,3.31,26.8
"28",2019-01-02 03:00:00,2019,1,0,2,2,4,27,75,3,TRUE,"NO",1.23,2.92,30.1
