"","DATE","DATE_year","DATE_month_year","DATE_week_year","DATE_day_year","DATE_day_month","DATE_day_week","DATE_hour_year","DATE_hour_week","DATE_hour_day","DATE_weekday","Holiday","Temperature","Solar.Irradiation","Power","Power_fitted","IS_Outlier","IS_Missing","IS_Missing_Outlier","Power_corrected","IS_Repaired"
"1",2019-01-01 00:00:00,2019,1,0,1,1,3,0,48,0,TRUE,"YES",-1.15,4.21,27.5,30.5012595533999,FALSE,FALSE,FALSE,27.5,FALSE
"2",2019-01-01 01:00:00,2019,1,0,1,1,3,1,49,1,TRUE,"YES",-0.94,4.23,30,29.6383246104419,FALSE,FALSE,FALSE,30,FALSE
"3",2019-01-01 02:00:00,2019,1,0,1,1,3,2,50,2,TRUE,"YES",-0.8,4.13,26.6,30.9346512076687,FALSE,FALSE,FALSE,26.6,FALSE
"4",2019-01-01 03:00:00,2019,1,0,1,1,3,3,51,3,TRUE,"YES",-0.6,4.04,26.9,32.5257802231413,FALSE,FALSE,FALSE,26.9,FALSE
"5",2019-01-01 04:00:00,2019,1,0,1,1,3,4,52,4,TRUE,"YES",-0.1,4.93,28.4,30.3917932641129,FALSE,FALSE,FALSE,28.4,FALSE
"6",2019-01-01 05:00:00,2019,1,0,1,1,3,5,53,5,TRUE,"YES",-0.12,5.11,26.5,32.4612434642568,FALSE,FALSE,FALSE,26.5,FALSE
"7",2019-01-01 06:00:00,2019,1,0,1,1,3,6,54,6,TRUE,"YES",0.14,4.7,30.2,31.588734320968,FALSE,FALSE,FALSE,30.2,FALSE
"8",2019-01-01 07:00:00,2019,1,0,1,1,3,7,55,7,TRUE,"YES",0.39,4.4,60.4,45.4587414989803,FALSE,FALSE,FALSE,60.4,FALSE
"9",2019-01-01 08:00:00,2019,1,0,1,1,3,8,56,8,TRUE,"YES",0.51,4.72,39.7,48.2617771698199,FALSE,FALSE,FALSE,39.7,FALSE
"10",2019-01-01 09:00:00,2019,1,0,1,1,3,9,57,9,TRUE,"YES",0.68,8.77,35.4,130.072337878404,TRUE,FALSE,TRUE,35.4,FALSE
"11",2019-01-01 10:00:00,2019,1,0,1,1,3,10,58,10,TRUE,"YES",1.01,22.71,33.7,123.763664984416,TRUE,FALSE,TRUE,33.7,FALSE
"12",2019-01-01 11:00:00,2019,1,0,1,1,3,11,59,11,TRUE,"YES",1.43,28.42,32.8,115.924482012093,TRUE,FALSE,TRUE,32.8,FALSE
"13",2019-01-01 12:00:00,2019,1,0,1,1,3,12,60,12,TRUE,"YES",1.81,40,32.5,108.771472855955,TRUE,FALSE,TRUE,32.5,FALSE
"14",2019-01-01 13:00:00,2019,1,0,1,1,3,13,61,13,TRUE,"YES",1.99,43.24,35,109.144704405538,TRUE,FALSE,TRUE,35,FALSE
"15",2019-01-01 14:00:00,2019,1,0,1,1,3,14,62,14,TRUE,"YES",2.19,15.66,35.9,107.496945779006,TRUE,FALSE,TRUE,35.9,FALSE
"16",2019-01-01 15:00:00,2019,1,0,1,1,3,15,63,15,TRUE,"YES",2.32,5.74,36.1,114.520964105897,TRUE,FALSE,TRUE,36.1,FALSE
"17",2019-01-01 16:00:00,2019,1,0,1,1,3,16,64,16,TRUE,"YES",2.3,2.83,33.1,106.32109069705,TRUE,FALSE,TRUE,33.1,FALSE
"18",2019-01-01 17:00:00,2019,1,0,1,1,3,17,65,17,TRUE,"YES",2.36,1.9,32.2,83.3952122014761,TRUE,FALSE,TRUE,32.2,FALSE
"19",2019-01-01 18:00:00,2019,1,0,1,1,3,18,66,18,TRUE,"YES",2.25,2.25,36.4,50.1886576172386,FALSE,FALSE,FALSE,36.4,FALSE
"20",2019-01-01 19:00:00,2019,1,0,1,1,3,19,67,19,TRUE,"YES",2.11,2.25,33.2,48.280937812221,FALSE,FALSE,FALSE,33.2,FALSE
"21",2019-01-01 20:00:00,2019,1,0,1,1,3,20,68,20,TRUE,"YES",1.98,2.24,31.8,45.127601974649,FALSE,FALSE,FALSE,31.8,FALSE
"22",2019-01-01 21:00:00,2019,1,0,1,1,3,21,69,21,TRUE,"YES",1.76,1.67,33.1,43.7443660814973,FALSE,FALSE,FALSE,33.1,FALSE
"23",2019-01-01 22:00:00,2019,1,0,1,1,3,22,70,22,TRUE,"YES",1.62,1.56,25.2,33.2387386195533,FALSE,FALSE,FALSE,25.2,FALSE
"24",2019-01-01 23:00:00,2019,1,0,1,1,3,23,71,23,TRUE,"YES",1.71,1.4,23.7,33.0457342827524,FALSE,FALSE,FALSE,23.7,FALSE
"25",2019-01-02 00:00:00,2019,1,0,2,2,4,24,72,0,TRUE,"NO",1.67,2.2,29.7,30.2167493097334,FALSE,FALSE,FALSE,29.7,FALSE
"26",2019-01-02 01:00:00,2019,1,0,2,2,4,25,73,1,TRUE,"NO",1.8,3.15,25.6,28.7239845819771,FALSE,FALSE,FALSE,25.6,FALSE
"27",2019-01-02 02:00:00,2019,1,0,2,2,4,26,74,2,TRUE,"NO",1.8,3.31,26.8,31.5469776095734,FALSE,FALSE,FALSE,26.8,FALSE
"28",2019-01-02 03:00:00,2019,1,0,2,2,4,27,75,3,TRUE,"NO",1.23,2.92,30.1,32.5995980387399,FALSE,FALSE,FALSE,30.1,FALSE
"29",2019-01-02 04:00:00,2019,1,0,2,2,4,28,76,4,TRUE,"NO",0.77,3.52,28.6,33.6661087653844,FALSE,FALSE,FALSE,28.6,FALSE
"30",2019-01-02 05:00:00,2019,1,0,2,2,4,29,77,5,TRUE,"NO",0.58,3.55,27.7,35.9060158340722,FALSE,FALSE,FALSE,27.7,FALSE
"31",2019-01-02 06:00:00,2019,1,0,2,2,4,30,78,6,TRUE,"NO",0.35,3.56,27.9,38.9795332099497,FALSE,FALSE,FALSE,27.9,FALSE
"32",2019-01-02 07:00:00,2019,1,0,2,2,4,31,79,7,TRUE,"NO",0.31,3.13,44.6,45.1961173442326,FALSE,FALSE,FALSE,44.6,FALSE
"33",2019-01-02 08:00:00,2019,1,0,2,2,4,32,80,8,TRUE,"NO",0.32,3.92,36.3,56.8692734383084,FALSE,FALSE,FALSE,36.3,FALSE
"34",2019-01-02 09:00:00,2019,1,0,2,2,4,33,81,9,TRUE,"NO",0.25,13.73,35.5,135.487144242525,TRUE,FALSE,TRUE,35.5,FALSE
"35",2019-01-02 10:00:00,2019,1,0,2,2,4,34,82,10,TRUE,"NO",0.42,26.82,36.9,121.221739405473,TRUE,FALSE,TRUE,36.9,FALSE
"36",2019-01-02 11:00:00,2019,1,0,2,2,4,35,83,11,TRUE,"NO",0.33,51.22,43.2,114.985707767562,TRUE,FALSE,TRUE,43.2,FALSE
"37",2019-01-02 12:00:00,2019,1,0,2,2,4,36,84,12,TRUE,"NO",0.14,38.76,33.2,124.041633117807,TRUE,FALSE,TRUE,33.2,FALSE
"38",2019-01-02 13:00:00,2019,1,0,2,2,4,37,85,13,TRUE,"NO",-0.23,46.49,33.6,120.711972679946,TRUE,FALSE,TRUE,33.6,FALSE
"39",2019-01-02 14:00:00,2019,1,0,2,2,4,38,86,14,TRUE,"NO",-1.13,22.3,38.6,124.808334758294,TRUE,FALSE,TRUE,38.6,FALSE
