"","DATE","DATE_year","DATE_month_year","DATE_week_year","DATE_day_year","DATE_day_month","DATE_day_week","DATE_hour_year","DATE_hour_week","DATE_hour_day","DATE_weekday","Holiday","Temperature","Solar.Irradiation","Power","Power_fitted","Power_residuals","IS_Outlier"
"1",2019-01-01 00:00:00,2019,1,0,1,1,3,0,48,0,TRUE,"YES",-1.15,4.21,27.5,30.0039519164748,2.50395191647479,FALSE
"2",2019-01-01 01:00:00,2019,1,0,1,1,3,1,49,1,TRUE,"YES",-0.94,4.23,30,31.3143079029909,1.31430790299088,FALSE
"3",2019-01-01 02:00:00,2019,1,0,1,1,3,2,50,2,TRUE,"YES",-0.8,4.13,26.6,30.7984653278831,4.19846532788309,FALSE
"4",2019-01-01 03:00:00,2019,1,0,1,1,3,3,51,3,TRUE,"YES",-0.6,4.04,26.9,32.6152017081422,5.71520170814215,FALSE
"5",2019-01-01 04:00:00,2019,1,0,1,1,3,4,52,4,TRUE,"YES",-0.1,4.93,28.4,29.9573018135946,1.55730181359462,FALSE
"6",2019-01-01 05:00:00,2019,1,0,1,1,3,5,53,5,TRUE,"YES",-0.12,5.11,26.5,32.5295169203976,6.02951692039755,FALSE
"7",2019-01-01 06:00:00,2019,1,0,1,1,3,6,54,6,TRUE,"YES",0.14,4.7,30.2,33.111149453626,2.91114945362603,FALSE
"8",2019-01-01 07:00:00,2019,1,0,1,1,3,7,55,7,TRUE,"YES",0.39,4.4,60.4,44.9538838168118,-15.4461161831882,FALSE
"9",2019-01-01 08:00:00,2019,1,0,1,1,3,8,56,8,TRUE,"YES",0.51,4.72,39.7,48.4317549641974,8.73175496419741,FALSE
"10",2019-01-01 09:00:00,2019,1,0,1,1,3,9,57,9,TRUE,"YES",0.68,8.77,35.4,122.271607149404,86.8716071494044,TRUE
"11",2019-01-01 10:00:00,2019,1,0,1,1,3,10,58,10,TRUE,"YES",1.01,22.71,33.7,123.700483651171,90.0004836511715,TRUE
"12",2019-01-01 11:00:00,2019,1,0,1,1,3,11,59,11,TRUE,"YES",1.43,28.42,32.8,119.919247213368,87.1192472133681,TRUE
"13",2019-01-01 12:00:00,2019,1,0,1,1,3,12,60,12,TRUE,"YES",1.81,40,32.5,114.991250842229,82.4912508422288,TRUE
"14",2019-01-01 13:00:00,2019,1,0,1,1,3,13,61,13,TRUE,"YES",1.99,43.24,35,112.365990245228,77.3659902452277,TRUE
"15",2019-01-01 14:00:00,2019,1,0,1,1,3,14,62,14,TRUE,"YES",2.19,15.66,35.9,109.457674838828,73.5576748388276,TRUE
"16",2019-01-01 15:00:00,2019,1,0,1,1,3,15,63,15,TRUE,"YES",2.32,5.74,36.1,112.201795479655,76.1017954796553,TRUE
"17",2019-01-01 16:00:00,2019,1,0,1,1,3,16,64,16,TRUE,"YES",2.3,2.83,33.1,106.716995809363,73.616995809363,TRUE
"18",2019-01-01 17:00:00,2019,1,0,1,1,3,17,65,17,TRUE,"YES",2.36,1.9,32.2,88.0664490936112,55.8664490936112,TRUE
"19",2019-01-01 18:00:00,2019,1,0,1,1,3,18,66,18,TRUE,"YES",2.25,2.25,36.4,50.2972747156347,13.8972747156347,FALSE
